;bio1;bio4;bio6;bio17;wind.anualMean
1;18.3333333730698;320.456597999413;9.89999961853027;329;2.64166665077209
2;19.1625001827876;327.879729543853;10.6000003814697;290;2.59166669845581
3;19.3666667540868;331.136696087529;9.60000038146973;248;2.6749999721845
4;19.4375;330.695716898316;9.39999961853027;244;2.66666664679845
5;17.8083333174388;312.292345585958;8.30000019073486;273;2.63333334525426
6;19.199999888738;318.219492348971;9.39999961853027;270;2.5750000278155
7;19.5416666666667;303.830354420313;10.8999996185303;279;3.66666668653488
8;17.2250001033147;304.88821349654;8.10000038146973;277;2.31666669249535
9;19.7541664838791;314.949199474461;10.3999996185303;266;2.91666664679845
10;18.3583331902822;314.583669142876;8.89999961853027;258;2.35833334922791
11;17.5166665315628;296.933814197129;8.80000019073486;288;3.26666669050852
12;17.3666667938232;298.32360158611;8.80000019073486;284;3.04166664679845
13;17.0666666825612;304.976402739986;8;278;2.41666662693024
14;16.1916665832202;297.205411696208;7.40000009536743;292;2.69166668256124
15;16.1999999682109;300.355860028655;7.40000009536743;297;2.4249999721845
16;16.9458332856496;299.108214243799;8.5;296;3.07500000794729
17;16.5708333452543;317.514907696394;7;317;2.14166665077209
18;17.0541665355364;311.378584307981;7.90000009536743;288;2.24166665474574
19;18.5541667540868;313.531635313673;9.69999980926514;283;2.55000001192093
20;18.8250000476837;315.036076658255;10;284;2.80000003178914
21;15.7291665474574;305.520844029495;6.59999990463257;316;2.27500000596046
22;16.237499833107;303.52568722532;7.30000019073486;302;2.4083333214124
23;16.741666674614;302.488412854866;8.10000038146973;300;2.69166668256124
24;16.5833333532015;317.785882371396;7.09999990463257;324;2.06666664282481
25;17.5916666984558;320.502684766488;8.19999980926514;300;2.00000000993411
26;17.7833334604899;314.861689033487;8.69999980926514;288;2.09166663885117
27;18.7458333969116;319.035900031683;9.60000038146973;288;2.09999997417132
28;18.5499999920527;317.740606781554;9.60000038146973;287;2.23333332935969
29;17.9208333492279;336.758999859356;7.69999980926514;345;1.95833332339923
30;16.9375;315.465904015858;7.5;307;2.01666667064031
31;17.9916667540868;320.658632853755;8.60000038146973;298;1.92500001192093
32;15.8625000715256;300.43246488942;7.09999990463257;313;2.31666666269302
33;16.8458334008853;331.507967961233;6.69999980926514;347;2.04166667660077
34;18.5499998728434;317.604677342898;9.69999980926514;298;2.30833333730698
35;16.3083331982295;315.859810842566;7;340;2.04166666666667
36;16.9041666587194;324.285650822022;7.40000009536743;328;1.93333333730698
37;17.6208332777023;318.02986278013;8.10000038146973;324;1.84166665871938
38;19.2916665871938;325.309846430996;10;301;1.74999999006589
39;19.6750001907349;315.65588779887;11.1000003814697;286;2.19166662295659
40;16.5541665355364;327.028346536295;6.40000009536743;320;1.95000000794729
41;18.0916666587194;311.42511797937;8.89999961853027;295;1.80000001192093
42;16.9708333015442;324.117384285627;7;291;1.84166666865349
43;18.3875000079473;305.592743209769;9.80000019073486;292;1.92499999205271
44;19.7708334525426;315.035778994671;10.8000001907349;269;1.66666665673256
45;16.3874999880791;302.618326982045;7.40000009536743;292;2.03333333134651
46;17.2666664918264;297.858525411118;8.69999980926514;287;2.09166665871938
47;20.0625;296.687206158657;12.1000003814697;250;2.00833335518837
48;19.3999999761581;289.348802397453;11.5;289;2.51666669050852
49;16.7208330631256;290.958105308149;8.30000019073486;304;2.38333334525426
50;20.091666618983;291.756691738286;12.3000001907349;257;2.1583333214124
