;Abarema langsdorffii;Acca sellowiana;Actinostemon concolor;Aegiphila integrifolia;Agarista eucalyptoides;Aiouea saligna;Albizia edwallii;Alchornea glandulosa;Alchornea sidifolia;Alchornea triplinervia;Allophylus edulis;Alseis floribunda;Alsophila setosa;Amaioua guianensis;Andira fraxinifolia;Aniba firmula;Annona cacans;Annona dolabripetala;Annona emarginata;Annona neosericea;Aparisthmium cordatum;Aspidosperma australe;Aspidosperma parvifolium;Aspidosperma ramiflorum;Aspidosperma tomentosum;Banara parviflora;Bathysa australis;Blepharocalyx salicifolius;Boehmeria caudata;Brosimum glaziovii;Brosimum lactescens;Buchenavia kleinii;Byrsonima ligustrifolia;Cabralea canjerana;Calyptranthes grandifolia;Calyptranthes lucida;Calyptranthes pileata;Calyptranthes strigipes;Calyptranthes tricona;Campomanesia guaviroba;Campomanesia xanthocarpa;Cariniana estrellensis;Casearia decandra;Casearia obliqua;Casearia sylvestris;Cecropia glaziovii;Cedrela fissilis;Chionanthus filiformis;Chionanthus micranthus;Chionanthus trichotomus;Chrysophyllum gonocarpum;Chrysophyllum inornatum;Chrysophyllum viride;Cinnamodendron dinisii;Cinnamomum amoenum;Cinnamomum glaziovii;Cinnamomum hatschbachii;Cinnamomum pseudoglaziovii;Cinnamomum sellowianum;Cinnamomum triplinerve;Citharexylum myrianthum;Citronella paniculata;Clethra scabra;Clusia criuva;Coccoloba warmingii;Copaifera trapezifolia;Cordia silvestris;Cordia trichotoma;Cordiera concolor;Coussapoa microcarpa;Coussarea contracta;Coutarea hexandra;Croton celtidifolius;Croton macrobothrys;Cryptocarya aschersoniana;Cryptocarya mandioccana;Cupania oblongifolia;Cupania vernalis;Cyathea atrovirens;Cyathea corcovadensis;Cyathea delgadii;Cyathea phalerata;Cyclolobium brasiliense;Dalbergia brasiliensis;Daphnopsis fasciculata;Diatenopteryx sorbifolia;Dicksonia sellowiana;Diospyros inconstans;Drimys brasiliensis;Duguetia lanceolata;Endlicheria paniculata;Erythroxylum deciduum;Escallonia bifida;Esenbeckia grandiflora;Eugenia beaurepairiana;Eugenia brasiliensis;Eugenia brevistyla;Eugenia burkartiana;Eugenia capitulifera;Eugenia cerasiflora;Eugenia cereja;Eugenia excelsa;Eugenia handroana;Eugenia involucrata;Eugenia melanogyna;Eugenia multicostata;Eugenia neoglomerata;Eugenia neoverrucosa;Eugenia platysema;Eugenia rostrifolia;Eugenia speciosa;Eugenia stigmatosa;Eugenia verticillata;Euterpe edulis;Faramea montevidensis;Ficus adhatodifolia;Ficus cestrifolia;Ficus luschnathiana;Ficus obtusiuscula;Garcinia gardneriana;Gochnatia polymorpha;Guapira opposita;Guarea macrophylla;Guatteria australis;Gymnanthes klotzschiana;Heisteria silvianii;Hennecartia omphalandra;Hieronyma alchorneoides;Hirtella hebeclada;Hovenia dulcis;Ilex brevicuspis;Ilex dumosa;Ilex microdonta;Ilex paraguariensis;Ilex theezans;Inga marginata;Inga sellowiana;Inga sessilis;Inga vera;Jacaranda micrantha;Jacaranda puberula;Lafoensia pacari;Lamanonia ternata;Laplacea fructicosa;Licaria armeniaca;Lonchocarpus cultratus;Luehea divaricata;Machaerium brasiliense;Machaerium paraguariense;Machaerium stipitatum;Maclura tinctoria;Magnolia champaca;Magnolia ovata;Manilkara subsericea;Marlierea eugeniopsoides;Marlierea reitzii;Marlierea silvatica;Matayba elaeagnoides;Matayba intermedia;Maytenus gonoclada;Meliosma sellowii;Miconia budlejoides;Miconia cabucu;Miconia cinerascens;Miconia cinnamomifolia;Miconia cubatanensis;Miconia inconspicua;Miconia pusilliflora;Miconia valtheri;Mimosa bimucronata;Mimosa scabrella;Mollinedia clavigera;Mollinedia schottiana;Mollinedia triflora;Mouriri chamissoana;Muellera campestris;Muellera grazielae;Myrceugenia alpigena;Myrceugenia cucullata;Myrceugenia miersiana;Myrceugenia myrcioides;Myrceugenia ovalifolia;Myrceugenia seriatoramosa;Myrceugenia venosa;Myrcia aethusa;Myrcia anacardiifolia;Myrcia brasiliensis;Myrcia catharinensis;Myrcia dichrophylla;Myrcia excoriata;Myrcia glabra;Myrcia guianensis;Myrcia hatschbachii;Myrcia neoriedeliana;Myrcia neotomentosa;Myrcia pubipetala;Myrcia pulchra;Myrcia retorta;Myrcia rupicola;Myrcia spectabilis;Myrcia splendens;Myrcia tijucensis;Myrcia undulata;Myrciaria floribunda;Myrciaria tenella;Myrocarpus frondosus;Myrsine coriacea;Myrsine gardneriana;Myrsine guianensis;Myrsine hermogenesii;Myrsine lancifolia;Myrsine parvula;Myrsine umbellata;Nectandra lanceolata;Nectandra leucantha;Nectandra megapotamica;Nectandra membranacea;Nectandra oppositifolia;Nectandra puberula;Neomitranthes gemballae;Neomitranthes glomerata;Ocotea aciphylla;Ocotea bicolor;Ocotea catharinensis;Ocotea corymbosa;Ocotea daphnifolia;Ocotea dispersa;Ocotea elegans;Ocotea glaziovii;Ocotea indecora;Ocotea lanata;Ocotea mandioccana;Ocotea nectandrifolia;Ocotea odorifera;Ocotea porosa;Ocotea puberula;Ocotea pulchella;Ocotea pulchra;Ocotea silvestris;Ocotea vaccinioides;Ormosia arborea;Ouratea parviflora;Ouratea vaccinioides;Pachystroma longifolium;Parinari excelsa;Pausandra morisiana;Pera glabrata;Persea alba;Persea willdenovii;Phytolacca dioica;Picrasma crenata;Pimenta pseudocaryophyllus;Piptadenia gonoacantha;Piptadenia paniculata;Piptocarpha angustifolia;Piptocarpha axillaris;Piptocarpha organensis;Piptocarpha regnellii;Pisonia ambigua;Platymiscium floribundum;Plinia pseudodichasiantha;Podocarpus lambertii;Podocarpus sellowii;Posoqueria latifolia;Pourouma guianensis;Pouteria venosa;Protium kleinii;Prunus myrtifolia;Pseudobombax grandiflorum;Psidium cattleianum;Psychotria carthagenensis;Psychotria nuda;Psychotria suterella;Psychotria vellosiana;Pterocarpus rohrii;Qualea cryptantha;Quiina glazovii;Randia ferox;Roupala asplenioides;Roupala montana;Rudgea jasminoides;Ruprechtia laxiflora;Sapium glandulosum;Schefflera angustissima;Schefflera morototoni;Schizolobium parahyba;Sebastiania commersoniana;Seguieria langsdorffii;Senna multijuga;Sessea regnellii;Siphoneugena reitzii;Sloanea guianensis;Sloanea hirsuta;Solanaceae ;Solanum gertii;Solanum pseudoquina;Solanum ramulosum;Solanum reitzii;Solanum rufescens;Solanum sanctaecatharinae;Sorocea bonplandii;Stylogyne pauciflora;Styrax acuminatus;Styrax leprosus;Syagrus romanzoffiana;Symplocos corymboclados;Symplocos glandulosomarginata;Symplocos tenuifolia;Tabernaemontana catharinensis;Tapirira guianensis;Tetrorchidium rubrivenium;Tibouchina dusenii;Tibouchina mutabilis;Tibouchina pulchra;Tibouchina sellowiana;Trema micrantha;Trichilia clausseni;Trichilia lepidota;Trichilia pallens;Vantanea compacta;Verbenoxylum reitzii;Vernonanthura discolor;Vernonanthura divaricata;Vernonanthura montevidensis;Vernonanthura puberula;Virola bicuhyba;Vitex megapotamica;Weinmannia discolor;Weinmannia humilis;Weinmannia paulliniifolia;Xylopia brasiliensis;Xylosma pseudosalzmannii;Zanthoxylum fagara;Zanthoxylum rhoifolium;Zollernia ilicifolia
1;0;0;4;0;0;24;4;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;1;0;0;9;7;0;0;0;0;0;7;0;0;0;8;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;5;0;0;0;0;0;2;0;0;0;3;1;2;0;0;1;0;0;0;0;2;0;0;0;0;1;0;13;0;0;6;41;0;3;7;0;0;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;2;0;0;7;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;3;0;0;0;0;0;15;0;0;0;0;4;1;9;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;2;1
2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;1;3;0;1;1;1;0;0;0;0;0;0;0;0;0;15;40;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;4;5;1;0;0;0;2;0;0;0;0;0;33;3;1;0;0;0;0;0;1;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;2;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;0;5;0;0;0;0
3;1;0;6;0;0;3;0;0;0;2;0;0;0;2;0;4;1;0;0;2;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;4;0;0;0;0;0;0;0;0;0;4;1;4;1;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;5;0;10;0;0;0;0;0;4;6;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;10;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;6;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;5;1;0;0;0;0;5;0;0;1;0;0;0;0;0;0;1;2;1;0;1;0;0;0;0;1;0;4;0;2;0;6;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;1;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;5;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;10;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
5;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;1;0;0;5;0;2;0;0;0;0;3;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;2;1;0;0;0;0;0;7;0;0;0;0;4;0;0;0;0;1;0;0;6;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;17;1;0;0;0;0;4;0;0;0;0;0;1;11;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;4;0;0;0;1;0;4;0;0;0;18;0;0;0;0;0;1;0;0;1;0;0;0;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;1;0;0;0;0;0;0;0;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;4;0;10;3;8;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0
7;0;0;0;0;0;9;0;0;0;1;7;3;0;0;0;3;1;0;0;0;0;6;0;0;0;0;0;0;0;6;6;0;0;0;1;0;0;0;0;1;0;0;1;2;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;0;0;1;0;0;2;0;28;0;0;0;1;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;48;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;2;0;0;17;0;1;0;0;0;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;8;0;0;3;0;0;0;0;0;4;0;0;6;0;0;1;0;0;0;0;2;0;2;9;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;2;1;0;0;1;1;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;4;0;0;0;0;2;0;3;3;1
8;1;0;0;0;0;8;1;0;0;11;1;1;15;0;0;0;4;15;1;0;0;18;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;3;0;0;1;1;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;3;0;1;0;5;0;13;0;8;0;34;2;0;0;0;0;2;2;5;0;6;0;0;0;0;3;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;5;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;4;0;0;0;9;3;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;3;0;0;0;0;7;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4;15;0;0;0;0;12;0;3;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;4;0;1;0;0;0;0;4;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;8;18;0;0;0;1;0;0;0;0;0;0;0;1;0
9;0;0;0;0;0;3;0;13;0;0;4;0;0;1;0;0;1;0;2;4;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;13;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0
10;0;2;0;0;0;2;1;0;2;47;0;0;7;0;0;3;0;0;0;2;0;4;0;0;0;0;30;0;0;0;1;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;1;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;8;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;0;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;1;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;1
